CH_2_us,CH_2_v
0.000000,-9.400000
0.400000,-9.400000
0.800000,-9.400000
1.200000,-9.400000
1.600000,-9.400000
2.000000,-9.400000
2.400000,-9.400000
2.800000,-9.400000
3.200000,-9.400000
3.600000,-8.400000
4.000000,-7.000000
4.400000,-5.200000
4.800000,-3.400000
5.200000,-1.400000
5.600000,0.600000
6.000000,2.600000
6.400000,4.400000
6.800000,6.000000
7.200000,7.400000
7.600000,8.800000
8.000000,9.600000
8.400000,10.200000
8.800000,10.200000
9.200000,9.600000
9.600000,8.600000
10.000000,7.400000
10.400000,6.000000
10.800000,4.400000
11.200000,2.200000
11.600000,0.200000
12.000000,-1.800000
12.400000,-3.800000
12.800000,-5.600000
13.200000,-7.400000
13.600000,-8.600000
14.000000,-9.600000
14.400000,-10.200000
14.800000,-10.400000
15.200000,-10.200000
15.600000,-9.400000
16.000000,-8.400000
16.400000,-7.000000
16.800000,-5.600000
17.200000,-3.800000
17.600000,-1.800000
18.000000,0.200000
18.400000,2.000000
18.800000,4.000000
19.200000,5.600000
19.600000,7.000000
20.000000,8.200000
20.400000,9.200000
20.800000,9.800000
21.200000,10.000000
21.600000,9.800000
22.000000,9.000000
22.400000,7.800000
22.800000,6.400000
23.200000,4.800000
23.600000,3.000000
24.000000,1.000000
24.400000,-1.200000
24.800000,-3.400000
25.200000,-5.200000
25.600000,-6.800000
26.000000,-8.000000
26.400000,-9.200000
26.800000,-10.000000
27.200000,-10.200000
27.600000,-10.000000
28.000000,-9.400000
28.400000,-8.600000
28.800000,-7.400000
29.200000,-6.000000
29.600000,-4.200000
30.000000,-2.400000
30.400000,-0.600000
30.800000,1.400000
31.200000,3.200000
31.600000,5.000000
32.000000,6.600000
32.400000,8.000000
32.800000,8.800000
33.200000,9.600000
33.600000,10.000000
34.000000,9.800000
34.400000,9.200000
34.800000,8.200000
35.200000,6.800000
35.600000,5.200000
36.000000,3.400000
36.400000,1.600000
36.800000,-0.600000
37.200000,-2.600000
37.600000,-4.400000
38.000000,-6.200000
38.400000,-7.600000
38.800000,-8.600000
39.200000,-9.600000
39.600000,-10.000000
40.000000,-10.200000
40.400000,-9.600000
40.800000,-8.800000
41.200000,-8.000000
41.600000,-6.600000
42.000000,-5.000000
42.400000,-3.200000
42.800000,-1.200000
43.200000,0.800000
43.600000,2.600000
44.000000,4.400000
44.400000,6.000000
44.800000,7.400000
45.200000,8.400000
45.600000,9.400000
46.000000,10.000000
46.400000,10.000000
46.800000,9.400000
47.200000,8.600000
47.600000,7.400000
48.000000,6.000000
48.400000,4.200000
48.800000,2.200000
49.200000,0.400000
49.600000,-1.600000
50.000000,-3.600000
50.400000,-5.400000
50.800000,-7.000000
51.200000,-8.400000
51.600000,-9.200000
