CH_2_us,CH_2_v
0.000000,0.240000
0.400000,0.240000
0.800000,0.240000
1.200000,0.240000
1.600000,0.240000
2.000000,0.240000
2.400000,0.240000
2.800000,0.240000
3.200000,0.240000
3.600000,0.160000
4.000000,0.080000
4.400000,0.000000
4.800000,-0.120000
5.200000,-0.280000
5.600000,-0.360000
6.000000,-0.400000
6.400000,-0.440000
6.800000,-0.520000
7.200000,-0.560000
7.600000,-0.560000
8.000000,-0.520000
8.400000,-0.520000
8.800000,-0.440000
9.200000,-0.360000
9.600000,-0.280000
10.000000,-0.200000
10.400000,-0.080000
10.800000,0.000000
11.200000,0.120000
11.600000,0.200000
12.000000,0.240000
12.400000,0.360000
12.800000,0.360000
13.200000,0.400000
13.600000,0.440000
14.000000,0.440000
14.400000,0.440000
14.800000,0.400000
15.200000,0.360000
15.600000,0.280000
16.000000,0.160000
16.400000,0.040000
16.800000,-0.040000
17.200000,-0.160000
17.600000,-0.280000
18.000000,-0.360000
18.400000,-0.440000
18.800000,-0.480000
19.200000,-0.560000
19.600000,-0.560000
20.000000,-0.600000
20.400000,-0.560000
20.800000,-0.520000
21.200000,-0.480000
21.600000,-0.400000
22.000000,-0.360000
22.400000,-0.200000
22.800000,-0.120000
23.200000,0.000000
23.600000,0.080000
24.000000,0.120000
24.400000,0.240000
24.800000,0.280000
25.200000,0.440000
25.600000,0.440000
26.000000,0.560000
26.400000,0.480000
26.800000,0.440000
27.200000,0.440000
27.600000,0.400000
28.000000,0.320000
28.400000,0.200000
28.800000,0.080000
29.200000,-0.040000
29.600000,-0.160000
30.000000,-0.280000
30.400000,-0.360000
30.800000,-0.360000
31.200000,-0.480000
31.600000,-0.480000
32.000000,-0.520000
32.400000,-0.520000
32.800000,-0.520000
33.200000,-0.480000
33.600000,-0.440000
34.000000,-0.400000
34.400000,-0.320000
34.800000,-0.200000
35.200000,-0.120000
35.600000,-0.080000
36.000000,0.040000
36.400000,0.080000
36.800000,0.240000
37.200000,0.280000
37.600000,0.360000
38.000000,0.400000
38.400000,0.440000
38.800000,0.440000
39.200000,0.400000
39.600000,0.360000
40.000000,0.320000
40.400000,0.280000
40.800000,0.200000
41.200000,0.080000
41.600000,0.000000
42.000000,-0.120000
42.400000,-0.240000
42.800000,-0.280000
43.200000,-0.400000
43.600000,-0.440000
44.000000,-0.480000
44.400000,-0.520000
44.800000,-0.520000
45.200000,-0.520000
45.600000,-0.480000
46.000000,-0.440000
46.400000,-0.400000
46.800000,-0.360000
47.200000,-0.240000
47.600000,-0.160000
48.000000,-0.040000
48.400000,0.040000
48.800000,0.120000
49.200000,0.160000
49.600000,0.280000
50.000000,0.320000
50.400000,0.360000
50.800000,0.400000
51.200000,0.400000
51.600000,0.400000
52.000000,0.360000
52.400000,0.360000
52.800000,0.320000
53.200000,0.200000
53.600000,0.120000
54.000000,0.040000
54.400000,-0.080000
54.800000,-0.120000
55.200000,-0.280000
55.600000,-0.320000
56.000000,-0.400000
56.400000,-0.440000
56.800000,-0.520000
57.200000,-0.520000
57.600000,-0.560000
58.000000,-0.520000
58.400000,-0.480000
58.800000,-0.440000
59.200000,-0.360000
59.600000,-0.280000
60.000000,-0.200000
60.400000,-0.120000
60.800000,-0.040000
61.200000,0.080000
61.600000,0.160000
62.000000,0.240000
62.400000,0.320000
62.800000,0.360000
63.200000,0.400000
63.600000,0.400000
64.000000,0.400000
64.400000,0.400000
64.800000,0.320000
65.200000,0.320000
65.600000,0.280000
66.000000,0.160000
66.400000,0.080000
66.800000,0.000000
67.200000,-0.120000
67.600000,-0.240000
68.000000,-0.320000
68.400000,-0.360000
68.800000,-0.440000
69.200000,-0.480000
69.600000,-0.520000
70.000000,-0.560000
70.400000,-0.560000
70.800000,-0.520000
71.200000,-0.440000
71.600000,-0.400000
72.000000,-0.320000
72.400000,-0.240000
72.800000,-0.160000
73.200000,-0.080000
73.600000,0.000000
74.000000,0.120000
74.400000,0.160000
74.800000,0.280000
75.200000,0.320000
75.600000,0.360000
76.000000,0.400000
76.400000,0.400000
76.800000,0.400000
77.200000,0.400000
77.600000,0.400000
78.000000,0.320000
78.400000,0.200000
78.800000,0.120000
79.200000,0.040000
79.600000,-0.040000
80.000000,-0.160000
80.400000,-0.280000
80.800000,-0.360000
81.200000,-0.400000
81.600000,-0.480000
82.000000,-0.520000
82.400000,-0.520000
82.800000,-0.520000
83.200000,-0.520000
83.600000,-0.520000
84.000000,-0.440000
84.400000,-0.360000
84.800000,-0.280000
85.200000,-0.240000
85.600000,-0.120000
86.000000,0.000000
86.400000,0.120000
86.800000,0.240000
87.200000,0.320000
87.600000,0.320000
88.000000,0.400000
88.400000,0.440000
88.800000,0.440000
89.200000,0.400000
89.600000,0.400000
90.000000,0.400000
90.400000,0.320000
90.800000,0.240000
91.200000,0.240000
91.600000,0.040000
92.000000,-0.040000
92.400000,-0.160000
92.800000,-0.280000
93.200000,-0.320000
93.600000,-0.400000
94.000000,-0.440000
94.400000,-0.520000
94.800000,-0.520000
95.200000,-0.560000
95.600000,-0.560000
96.000000,-0.520000
96.400000,-0.440000
96.800000,-0.360000
97.200000,-0.280000
97.600000,-0.200000
98.000000,-0.080000
98.400000,0.040000
98.800000,0.120000
99.200000,0.160000
99.600000,0.280000
100.000000,0.320000
100.400000,0.360000
100.800000,0.400000
101.200000,0.440000
101.600000,0.440000
102.000000,0.440000
102.400000,0.440000
102.800000,0.360000
103.200000,0.280000
103.600000,0.160000
104.000000,0.080000
104.400000,-0.040000
104.800000,-0.160000
105.200000,-0.240000
105.600000,-0.360000
106.000000,-0.400000
106.400000,-0.480000
106.800000,-0.520000
107.200000,-0.560000
107.600000,-0.600000
108.000000,-0.560000
108.400000,-0.520000
108.800000,-0.440000
109.200000,-0.360000
109.600000,-0.280000
110.000000,-0.200000
110.400000,-0.080000
110.800000,0.040000
111.200000,0.120000
111.600000,0.240000
112.000000,0.280000
112.400000,0.360000
112.800000,0.400000
113.200000,0.440000
113.600000,0.440000
114.000000,0.440000
114.400000,0.440000
114.800000,0.400000
115.200000,0.360000
115.600000,0.280000
116.000000,0.200000
116.400000,0.080000
116.800000,-0.040000
117.200000,-0.160000
117.600000,-0.280000
118.000000,-0.360000
118.400000,-0.440000
118.800000,-0.480000
119.200000,-0.560000
119.600000,-0.560000
120.000000,-0.600000
120.400000,-0.560000
120.800000,-0.520000
121.200000,-0.480000
121.600000,-0.400000
122.000000,-0.280000
122.400000,-0.200000
122.800000,-0.120000
123.200000,0.000000
123.600000,0.120000
124.000000,0.240000
124.400000,0.280000
124.800000,0.320000
125.200000,0.440000
125.600000,0.440000
126.000000,0.480000
126.400000,0.440000
126.800000,0.440000
127.200000,0.440000
127.600000,0.360000
128.000000,0.280000
128.400000,0.160000
128.800000,0.080000
129.200000,-0.040000
129.600000,-0.160000
130.000000,-0.240000
130.400000,-0.280000
130.800000,-0.360000
131.200000,-0.440000
131.600000,-0.480000
132.000000,-0.520000
132.400000,-0.560000
132.800000,-0.560000
133.200000,-0.520000
133.600000,-0.440000
134.000000,-0.400000
134.400000,-0.400000
134.800000,-0.240000
135.200000,-0.160000
135.600000,-0.040000
136.000000,0.080000
136.400000,0.160000
136.800000,0.200000
137.200000,0.280000
137.600000,0.320000
138.000000,0.400000
138.400000,0.440000
138.800000,0.440000
139.200000,0.400000
139.600000,0.360000
140.000000,0.320000
140.400000,0.280000
140.800000,0.200000
141.200000,0.080000
