CH_1_us,CH_1_v
0.000000,0.920000
0.400000,0.920000
0.800000,0.920000
1.200000,0.920000
1.600000,0.920000
2.000000,0.920000
2.400000,0.920000
2.800000,0.920000
3.200000,0.920000
3.600000,0.680000
4.000000,0.320000
4.400000,-0.040000
4.800000,-0.440000
5.200000,-0.880000
5.600000,-1.280000
6.000000,-1.560000
6.400000,-1.840000
6.800000,-1.480000
7.200000,-0.880000
7.600000,-0.640000
8.000000,-0.480000
8.400000,-0.440000
8.800000,-0.360000
9.200000,-0.360000
9.600000,-0.360000
10.000000,-0.320000
10.400000,-0.280000
10.800000,-0.280000
11.200000,-0.080000
11.600000,0.240000
12.000000,0.600000
12.400000,0.880000
12.800000,1.120000
13.200000,1.280000
13.600000,1.400000
14.000000,1.400000
14.400000,1.360000
14.800000,1.200000
15.200000,1.000000
15.600000,0.720000
16.000000,0.400000
16.400000,-0.040000
16.800000,-0.440000
17.200000,-0.800000
17.600000,-1.200000
18.000000,-1.520000
18.400000,-1.760000
18.800000,-1.480000
19.200000,-0.920000
19.600000,-0.640000
20.000000,-0.520000
20.400000,-0.480000
20.800000,-0.440000
21.200000,-0.360000
21.600000,-0.320000
22.000000,-0.280000
22.400000,-0.240000
22.800000,-0.240000
23.200000,-0.120000
23.600000,0.160000
24.000000,0.440000
24.400000,0.720000
24.800000,0.920000
25.200000,1.040000
25.600000,1.120000
26.000000,1.160000
26.400000,1.160000
26.800000,1.040000
27.200000,0.840000
27.600000,0.600000
28.000000,0.280000
28.400000,0.000000
28.800000,-0.320000
29.200000,-0.680000
29.600000,-1.000000
30.000000,-1.280000
30.400000,-1.520000
30.800000,-1.360000
31.200000,-0.880000
31.600000,-0.640000
32.000000,-0.520000
32.400000,-0.440000
32.800000,-0.360000
33.200000,-0.360000
33.600000,-0.360000
34.000000,-0.360000
34.400000,-0.320000
34.800000,-0.280000
35.200000,-0.240000
35.600000,-0.040000
36.000000,0.160000
36.400000,0.360000
36.800000,0.560000
37.200000,0.680000
37.600000,0.760000
38.000000,0.760000
38.400000,0.720000
38.800000,0.680000
39.200000,0.600000
39.600000,0.400000
40.000000,0.280000
40.400000,0.080000
40.800000,-0.200000
41.200000,-0.480000
41.600000,-0.680000
42.000000,-0.840000
42.400000,-1.040000
42.800000,-1.160000
43.200000,-1.000000
43.600000,-0.640000
44.000000,-0.480000
44.400000,-0.400000
44.800000,-0.360000
45.200000,-0.360000
45.600000,-0.320000
46.000000,-0.320000
46.400000,-0.320000
46.800000,-0.280000
47.200000,-0.280000
47.600000,-0.240000
48.000000,-0.200000
48.400000,-0.160000
48.800000,-0.040000
49.200000,0.080000
49.600000,0.200000
50.000000,0.280000
50.400000,0.320000
50.800000,0.360000
51.200000,0.320000
51.600000,0.320000
52.000000,0.280000
52.400000,0.160000
52.800000,0.040000
53.200000,-0.080000
53.600000,-0.200000
54.000000,-0.360000
54.400000,-0.520000
54.800000,-0.640000
55.200000,-0.760000
55.600000,-0.800000
56.000000,-0.800000
56.400000,-0.560000
56.800000,-0.440000
57.200000,-0.360000
57.600000,-0.360000
58.000000,-0.320000
58.400000,-0.320000
58.800000,-0.280000
59.200000,-0.280000
59.600000,-0.280000
60.000000,-0.280000
60.400000,-0.280000
60.800000,-0.280000
61.200000,-0.280000
61.600000,-0.240000
62.000000,-0.200000
62.400000,-0.120000
62.800000,0.040000
63.200000,0.160000
63.600000,0.240000
64.000000,0.280000
64.400000,0.360000
64.800000,0.320000
65.200000,0.320000
65.600000,0.320000
66.000000,0.240000
66.400000,0.080000
66.800000,-0.040000
67.200000,-0.200000
67.600000,-0.360000
68.000000,-0.520000
68.400000,-0.680000
68.800000,-0.760000
69.200000,-0.880000
69.600000,-0.600000
70.000000,-0.480000
70.400000,-0.400000
70.800000,-0.400000
71.200000,-0.320000
71.600000,-0.320000
72.000000,-0.320000
72.400000,-0.280000
72.800000,-0.280000
73.200000,-0.240000
73.600000,-0.200000
74.000000,-0.200000
74.400000,-0.200000
74.800000,-0.120000
75.200000,0.080000
75.600000,0.280000
76.000000,0.440000
76.400000,0.600000
76.800000,0.720000
77.200000,0.760000
77.600000,0.760000
78.000000,0.720000
78.400000,0.640000
78.800000,0.520000
79.200000,0.320000
79.600000,0.080000
80.000000,-0.120000
80.400000,-0.400000
80.800000,-0.720000
81.200000,-1.000000
81.600000,-1.200000
82.000000,-1.120000
82.400000,-0.800000
82.800000,-0.560000
83.200000,-0.480000
83.600000,-0.400000
84.000000,-0.360000
84.400000,-0.320000
84.800000,-0.320000
85.200000,-0.320000
85.600000,-0.320000
86.000000,-0.280000
86.400000,-0.240000
86.800000,-0.200000
87.200000,0.000000
87.600000,0.320000
88.000000,0.560000
88.400000,0.800000
88.800000,0.960000
89.200000,1.080000
89.600000,1.160000
90.000000,1.160000
90.400000,1.080000
90.800000,0.920000
91.200000,0.720000
91.600000,0.440000
92.000000,0.120000
92.400000,-0.200000
92.800000,-0.600000
93.200000,-1.000000
93.600000,-1.320000
94.000000,-1.560000
94.400000,-1.440000
94.800000,-0.960000
95.200000,-0.680000
95.600000,-0.520000
96.000000,-0.440000
96.400000,-0.360000
96.800000,-0.360000
97.200000,-0.320000
97.600000,-0.280000
98.000000,-0.280000
98.400000,-0.240000
98.800000,-0.200000
99.200000,0.000000
99.600000,0.320000
100.000000,0.600000
100.400000,0.880000
100.800000,1.160000
101.200000,1.320000
101.600000,1.400000
102.000000,1.440000
102.400000,1.360000
102.800000,1.160000
103.200000,0.880000
103.600000,0.600000
104.000000,0.240000
104.400000,-0.160000
104.800000,-0.560000
105.200000,-0.920000
105.600000,-1.320000
106.000000,-1.640000
106.400000,-1.800000
106.800000,-1.360000
107.200000,-0.800000
107.600000,-0.600000
108.000000,-0.480000
108.400000,-0.440000
108.800000,-0.400000
109.200000,-0.360000
109.600000,-0.320000
110.000000,-0.280000
110.400000,-0.280000
110.800000,-0.200000
111.200000,0.000000
111.600000,0.320000
112.000000,0.640000
112.400000,0.920000
112.800000,1.120000
113.200000,1.320000
113.600000,1.400000
114.000000,1.400000
114.400000,1.320000
114.800000,1.120000
115.200000,0.880000
115.600000,0.600000
116.000000,0.280000
116.400000,-0.120000
116.800000,-0.480000
117.200000,-0.880000
117.600000,-1.280000
118.000000,-1.600000
118.400000,-1.840000
118.800000,-1.440000
119.200000,-0.800000
119.600000,-0.600000
120.000000,-0.520000
120.400000,-0.440000
120.800000,-0.360000
121.200000,-0.360000
121.600000,-0.320000
122.000000,-0.280000
122.400000,-0.280000
122.800000,-0.240000
123.200000,-0.080000
123.600000,0.200000
124.000000,0.480000
124.400000,0.760000
124.800000,1.000000
125.200000,1.120000
125.600000,1.160000
126.000000,1.160000
126.400000,1.120000
126.800000,1.000000
127.200000,0.800000
127.600000,0.560000
128.000000,0.240000
128.400000,-0.080000
128.800000,-0.440000
129.200000,-0.760000
129.600000,-1.080000
130.000000,-1.360000
130.400000,-1.560000
130.800000,-1.320000
131.200000,-0.840000
131.600000,-0.640000
132.000000,-0.520000
132.400000,-0.440000
132.800000,-0.400000
133.200000,-0.360000
133.600000,-0.320000
134.000000,-0.320000
134.400000,-0.280000
134.800000,-0.280000
135.200000,-0.200000
135.600000,-0.040000
136.000000,0.200000
136.400000,0.400000
136.800000,0.520000
137.200000,0.680000
137.600000,0.760000
138.000000,0.800000
138.400000,0.760000
138.800000,0.680000
139.200000,0.560000
139.600000,0.400000
140.000000,0.200000
140.400000,0.000000
140.800000,-0.240000
141.200000,-0.480000
141.600000,-0.680000
142.000000,-0.880000
142.400000,-1.040000
142.800000,-1.160000
143.200000,-0.920000
143.600000,-0.600000
144.000000,-0.480000
