CH_1_us,CH_1_v
0.000000,0.160000
0.400000,0.160000
0.800000,0.160000
1.200000,0.160000
1.600000,0.160000
2.000000,0.160000
2.400000,0.160000
2.800000,0.160000
3.200000,0.160000
3.600000,-0.080000
4.000000,-0.280000
4.400000,-0.480000
4.800000,-0.680000
5.200000,-0.880000
5.600000,-0.840000
6.000000,-0.560000
6.400000,-0.400000
6.800000,-0.360000
7.200000,-0.320000
7.600000,-0.280000
8.000000,-0.280000
8.400000,-0.240000
8.800000,-0.240000
9.200000,-0.240000
9.600000,-0.200000
10.000000,-0.160000
10.400000,-0.080000
10.800000,0.080000
11.200000,0.240000
11.600000,0.440000
12.000000,0.560000
12.400000,0.600000
12.800000,0.560000
13.200000,0.560000
13.600000,0.520000
14.000000,0.400000
14.400000,0.200000
14.800000,0.000000
15.200000,-0.200000
15.600000,-0.360000
16.000000,-0.560000
16.400000,-0.800000
16.800000,-0.920000
17.200000,-0.720000
17.600000,-0.440000
18.000000,-0.360000
18.400000,-0.320000
18.800000,-0.280000
19.200000,-0.280000
19.600000,-0.240000
20.000000,-0.240000
20.400000,-0.200000
20.800000,-0.200000
21.200000,-0.160000
21.600000,-0.120000
22.000000,0.000000
22.400000,0.120000
22.800000,0.280000
23.200000,0.360000
23.600000,0.440000
24.000000,0.440000
24.400000,0.440000
24.800000,0.400000
25.200000,0.280000
25.600000,0.200000
26.000000,0.000000
26.400000,-0.160000
26.800000,-0.320000
27.200000,-0.520000
27.600000,-0.680000
28.000000,-0.760000
28.400000,-0.680000
28.800000,-0.480000
29.200000,-0.320000
29.600000,-0.280000
30.000000,-0.240000
30.400000,-0.200000
30.800000,-0.240000
31.200000,-0.240000
31.600000,-0.200000
32.000000,-0.200000
32.400000,-0.200000
32.800000,-0.160000
33.200000,-0.120000
33.600000,0.000000
34.000000,0.120000
34.400000,0.200000
34.800000,0.280000
35.200000,0.320000
35.600000,0.280000
36.000000,0.200000
36.400000,0.160000
36.800000,0.040000
37.200000,-0.080000
37.600000,-0.240000
38.000000,-0.360000
38.400000,-0.480000
38.800000,-0.520000
39.200000,-0.640000
39.600000,-0.440000
40.000000,-0.400000
40.400000,-0.320000
40.800000,-0.280000
41.200000,-0.200000
