CH_1_us,CH_1_v
0.000000,0.320000
0.400000,0.320000
0.800000,0.320000
1.200000,0.320000
1.600000,0.320000
2.000000,0.320000
2.400000,0.320000
2.800000,0.320000
3.200000,0.320000
3.600000,0.160000
4.000000,0.000000
4.400000,-0.160000
4.800000,-0.360000
5.200000,-0.560000
5.600000,-0.720000
6.000000,-0.800000
6.400000,-0.600000
6.800000,-0.440000
7.200000,-0.320000
7.600000,-0.280000
8.000000,-0.240000
8.400000,-0.240000
8.800000,-0.240000
9.200000,-0.240000
9.600000,-0.200000
10.000000,-0.200000
10.400000,-0.160000
10.800000,-0.120000
11.200000,0.040000
11.600000,0.160000
12.000000,0.280000
12.400000,0.400000
12.800000,0.480000
13.200000,0.520000
13.600000,0.480000
14.000000,0.440000
14.400000,0.360000
14.800000,0.200000
15.200000,0.040000
15.600000,-0.160000
16.000000,-0.360000
16.400000,-0.560000
16.800000,-0.680000
17.200000,-0.720000
17.600000,-0.720000
18.000000,-0.480000
18.400000,-0.360000
18.800000,-0.280000
19.200000,-0.280000
19.600000,-0.240000
20.000000,-0.240000
20.400000,-0.200000
20.800000,-0.200000
21.200000,-0.200000
21.600000,-0.160000
22.000000,-0.160000
22.400000,-0.040000
22.800000,0.120000
23.200000,0.240000
23.600000,0.360000
24.000000,0.400000
24.400000,0.400000
24.800000,0.400000
25.200000,0.360000
25.600000,0.240000
26.000000,0.120000
26.400000,-0.040000
26.800000,-0.200000
27.200000,-0.360000
27.600000,-0.560000
28.000000,-0.640000
28.400000,-0.720000
28.800000,-0.520000
29.200000,-0.400000
29.600000,-0.320000
30.000000,-0.240000
30.400000,-0.240000
30.800000,-0.240000
31.200000,-0.240000
31.600000,-0.200000
32.000000,-0.200000
32.400000,-0.200000
32.800000,-0.160000
33.200000,-0.200000
33.600000,-0.080000
34.000000,0.080000
34.400000,0.200000
34.800000,0.280000
35.200000,0.280000
35.600000,0.320000
36.000000,0.320000
36.400000,0.200000
36.800000,0.120000
37.200000,0.000000
37.600000,-0.120000
38.000000,-0.240000
38.400000,-0.400000
38.800000,-0.560000
39.200000,-0.600000
39.600000,-0.680000
40.000000,-0.440000
40.400000,-0.360000
40.800000,-0.280000
41.200000,-0.240000
41.600000,-0.200000
42.000000,-0.200000
42.400000,-0.200000
42.800000,-0.200000
43.200000,-0.200000
43.600000,-0.160000
44.000000,-0.160000
44.400000,-0.080000
44.800000,-0.040000
45.200000,0.040000
45.600000,0.120000
46.000000,0.200000
46.400000,0.240000
46.800000,0.240000
47.200000,0.160000
47.600000,0.120000
48.000000,0.040000
48.400000,-0.120000
48.800000,-0.240000
49.200000,-0.400000
49.600000,-0.480000
50.000000,-0.560000
50.400000,-0.440000
50.800000,-0.400000
51.200000,-0.360000
51.600000,-0.280000
52.000000,-0.280000
52.400000,-0.240000
52.800000,-0.240000
53.200000,-0.200000
53.600000,-0.200000
54.000000,-0.200000
54.400000,-0.160000
54.800000,-0.160000
55.200000,-0.160000
55.600000,-0.040000
56.000000,0.040000
56.400000,0.120000
56.800000,0.160000
57.200000,0.240000
57.600000,0.240000
58.000000,0.240000
58.400000,0.160000
58.800000,0.080000
59.200000,-0.040000
59.600000,-0.200000
60.000000,-0.320000
60.400000,-0.480000
60.800000,-0.560000
61.200000,-0.640000
61.600000,-0.440000
62.000000,-0.400000
62.400000,-0.280000
62.800000,-0.280000
63.200000,-0.200000
63.600000,-0.200000
64.000000,-0.200000
64.400000,-0.160000
64.800000,-0.160000
65.200000,-0.160000
65.600000,-0.160000
66.000000,-0.120000
66.400000,-0.040000
66.800000,0.120000
67.200000,0.200000
67.600000,0.280000
68.000000,0.360000
68.400000,0.400000
68.800000,0.360000
