CH_1_us,CH_1_v
0.000000,0.560000
0.400000,0.560000
0.800000,0.560000
1.200000,0.560000
1.600000,0.560000
2.000000,0.560000
2.400000,0.560000
2.800000,0.560000
3.200000,0.560000
3.600000,0.240000
4.000000,-0.160000
4.400000,-0.560000
4.800000,-0.920000
5.200000,-1.280000
5.600000,-1.640000
6.000000,-1.720000
6.400000,-1.280000
6.800000,-0.760000
7.200000,-0.600000
7.600000,-0.480000
8.000000,-0.400000
8.400000,-0.360000
8.800000,-0.320000
9.200000,-0.320000
9.600000,-0.280000
10.000000,-0.240000
10.400000,-0.240000
10.800000,-0.040000
11.200000,0.280000
11.600000,0.640000
12.000000,0.880000
12.400000,1.120000
12.800000,1.280000
13.200000,1.320000
13.600000,1.320000
14.000000,1.280000
14.400000,1.120000
14.800000,0.880000
15.200000,0.560000
15.600000,0.240000
16.000000,-0.080000
16.400000,-0.440000
16.800000,-0.880000
17.200000,-1.240000
17.600000,-1.560000
18.000000,-1.760000
18.400000,-1.360000
18.800000,-0.800000
19.200000,-0.600000
19.600000,-0.520000
20.000000,-0.440000
20.400000,-0.400000
20.800000,-0.360000
21.200000,-0.320000
21.600000,-0.280000
22.000000,-0.240000
22.400000,-0.240000
22.800000,-0.120000
23.200000,0.200000
23.600000,0.480000
24.000000,0.720000
24.400000,0.920000
24.800000,1.080000
25.200000,1.120000
25.600000,1.120000
26.000000,1.040000
26.400000,0.920000
26.800000,0.720000
27.200000,0.480000
27.600000,0.200000
28.000000,-0.080000
28.400000,-0.440000
28.800000,-0.760000
29.200000,-1.040000
29.600000,-1.320000
30.000000,-1.520000
30.400000,-1.240000
30.800000,-0.760000
31.200000,-0.560000
31.600000,-0.480000
32.000000,-0.400000
32.400000,-0.360000
32.800000,-0.320000
33.200000,-0.320000
33.600000,-0.320000
34.000000,-0.280000
34.400000,-0.240000
34.800000,-0.200000
35.200000,-0.040000
35.600000,0.160000
36.000000,0.400000
36.400000,0.560000
36.800000,0.640000
37.200000,0.720000
37.600000,0.720000
38.000000,0.680000
38.400000,0.640000
38.800000,0.520000
39.200000,0.360000
39.600000,0.160000
40.000000,-0.080000
40.400000,-0.280000
40.800000,-0.520000
41.200000,-0.720000
41.600000,-0.920000
42.000000,-1.120000
42.400000,-1.080000
42.800000,-0.800000
43.200000,-0.520000
43.600000,-0.440000
44.000000,-0.400000
44.400000,-0.360000
44.800000,-0.320000
45.200000,-0.320000
45.600000,-0.320000
46.000000,-0.320000
46.400000,-0.280000
46.800000,-0.280000
47.200000,-0.240000
47.600000,-0.200000
48.000000,-0.040000
48.400000,0.080000
48.800000,0.160000
49.200000,0.200000
49.600000,0.240000
50.000000,0.240000
50.400000,0.280000
50.800000,0.320000
51.200000,0.280000
51.600000,0.160000
52.000000,0.080000
52.400000,-0.040000
52.800000,-0.160000
53.200000,-0.280000
53.600000,-0.400000
54.000000,-0.520000
54.400000,-0.640000
54.800000,-0.720000
55.200000,-0.840000
55.600000,-0.560000
56.000000,-0.440000
56.400000,-0.360000
56.800000,-0.360000
57.200000,-0.280000
57.600000,-0.320000
58.000000,-0.320000
58.400000,-0.320000
58.800000,-0.320000
59.200000,-0.280000
59.600000,-0.280000
60.000000,-0.280000
60.400000,-0.280000
60.800000,-0.240000
61.200000,-0.240000
61.600000,-0.200000
62.000000,-0.120000
62.400000,0.000000
62.800000,0.120000
63.200000,0.200000
63.600000,0.240000
64.000000,0.280000
64.400000,0.240000
64.800000,0.240000
65.200000,0.200000
65.600000,0.160000
66.000000,0.040000
66.400000,-0.080000
66.800000,-0.240000
67.200000,-0.400000
67.600000,-0.560000
68.000000,-0.680000
68.400000,-0.760000
68.800000,-0.760000
69.200000,-0.600000
69.600000,-0.440000
70.000000,-0.400000
70.400000,-0.320000
70.800000,-0.320000
71.200000,-0.320000
71.600000,-0.320000
72.000000,-0.280000
72.400000,-0.280000
72.800000,-0.280000
73.200000,-0.280000
73.600000,-0.280000
74.000000,-0.200000
74.400000,-0.120000
74.800000,0.040000
75.200000,0.240000
75.600000,0.400000
76.000000,0.560000
76.400000,0.640000
76.800000,0.720000
77.200000,0.720000
77.600000,0.680000
78.000000,0.600000
78.400000,0.480000
78.800000,0.280000
79.200000,0.040000
79.600000,-0.160000
80.000000,-0.440000
80.400000,-0.720000
80.800000,-0.960000
81.200000,-1.200000
81.600000,-1.080000
82.000000,-0.680000
82.400000,-0.520000
82.800000,-0.440000
83.200000,-0.440000
83.600000,-0.320000
84.000000,-0.360000
84.400000,-0.320000
84.800000,-0.320000
85.200000,-0.280000
85.600000,-0.280000
86.000000,-0.280000
86.400000,-0.160000
86.800000,0.040000
87.200000,0.280000
87.600000,0.520000
88.000000,0.720000
88.400000,0.920000
88.800000,1.040000
89.200000,1.080000
89.600000,1.080000
90.000000,1.000000
90.400000,0.880000
90.800000,0.640000
91.200000,0.400000
91.600000,0.040000
92.000000,-0.320000
92.400000,-0.640000
92.800000,-1.000000
93.200000,-1.280000
93.600000,-1.560000
94.000000,-1.320000
94.400000,-0.840000
94.800000,-0.600000
95.200000,-0.480000
95.600000,-0.440000
96.000000,-0.400000
96.400000,-0.360000
96.800000,-0.360000
97.200000,-0.320000
97.600000,-0.280000
98.000000,-0.240000
98.400000,-0.160000
98.800000,0.000000
99.200000,0.320000
99.600000,0.640000
100.000000,0.880000
100.400000,1.120000
100.800000,1.280000
101.200000,1.360000
101.600000,1.320000
102.000000,1.240000
102.400000,1.040000
102.800000,0.800000
103.200000,0.480000
103.600000,0.160000
104.000000,-0.240000
104.400000,-0.640000
104.800000,-1.000000
105.200000,-1.360000
105.600000,-1.640000
106.000000,-1.560000
106.400000,-1.080000
106.800000,-0.720000
107.200000,-0.600000
107.600000,-0.480000
108.000000,-0.400000
108.400000,-0.360000
108.800000,-0.360000
109.200000,-0.320000
109.600000,-0.280000
110.000000,-0.280000
110.400000,-0.240000
110.800000,0.040000
111.200000,0.360000
111.600000,0.640000
112.000000,0.920000
112.400000,1.120000
112.800000,1.280000
113.200000,1.360000
113.600000,1.320000
114.000000,1.200000
114.400000,1.040000
114.800000,0.800000
115.200000,0.520000
115.600000,0.160000
116.000000,-0.200000
116.400000,-0.560000
116.800000,-0.960000
117.200000,-1.320000
117.600000,-1.640000
118.000000,-1.680000
118.400000,-1.280000
118.800000,-0.840000
119.200000,-0.640000
119.600000,-0.520000
120.000000,-0.400000
120.400000,-0.360000
120.800000,-0.360000
121.200000,-0.320000
121.600000,-0.320000
122.000000,-0.320000
122.400000,-0.240000
122.800000,-0.040000
123.200000,0.280000
123.600000,0.520000
124.000000,0.760000
124.400000,0.920000
124.800000,1.040000
125.200000,1.120000
125.600000,1.120000
126.000000,1.000000
126.400000,0.880000
126.800000,0.680000
127.200000,0.440000
127.600000,0.160000
128.000000,-0.160000
128.400000,-0.480000
128.800000,-0.800000
129.200000,-1.120000
129.600000,-1.400000
130.000000,-1.520000
130.400000,-1.200000
130.800000,-0.760000
131.200000,-0.600000
131.600000,-0.520000
132.000000,-0.480000
132.400000,-0.400000
132.800000,-0.400000
133.200000,-0.360000
133.600000,-0.280000
134.000000,-0.240000
134.400000,-0.240000
134.800000,-0.160000
135.200000,0.000000
135.600000,0.200000
136.000000,0.360000
136.400000,0.520000
136.800000,0.640000
137.200000,0.720000
137.600000,0.720000
138.000000,0.680000
138.400000,0.640000
138.800000,0.520000
139.200000,0.280000
139.600000,0.120000
140.000000,-0.080000
140.400000,-0.320000
140.800000,-0.520000
141.200000,-0.720000
141.600000,-0.960000
142.000000,-1.120000
142.400000,-1.040000
142.800000,-0.720000
143.200000,-0.520000
143.600000,-0.440000
144.000000,-0.440000
144.400000,-0.320000
144.800000,-0.360000
145.200000,-0.320000
145.600000,-0.320000
146.000000,-0.320000
146.400000,-0.320000
146.800000,-0.280000
147.200000,-0.280000
147.600000,-0.280000
148.000000,-0.160000
148.400000,0.000000
148.800000,0.080000
149.200000,0.200000
149.600000,0.280000
150.000000,0.280000
150.400000,0.240000
150.800000,0.240000
151.200000,0.240000
151.600000,0.160000
152.000000,0.080000
152.400000,-0.040000
152.800000,-0.120000
153.200000,-0.240000
153.600000,-0.400000
154.000000,-0.520000
154.400000,-0.680000
154.800000,-0.720000
155.200000,-0.720000
155.600000,-0.600000
156.000000,-0.400000
156.400000,-0.440000
156.800000,-0.400000
157.200000,-0.360000
157.600000,-0.360000
158.000000,-0.320000
158.400000,-0.320000
158.800000,-0.280000
159.200000,-0.280000
159.600000,-0.280000
160.000000,-0.280000
160.400000,-0.280000
160.800000,-0.240000
161.200000,-0.200000
161.600000,-0.160000
162.000000,-0.120000
162.400000,-0.040000
162.800000,0.040000
163.200000,0.160000
163.600000,0.200000
164.000000,0.320000
164.400000,0.280000
164.800000,0.280000
165.200000,0.240000
165.600000,0.160000
166.000000,0.080000
166.400000,-0.040000
166.800000,-0.200000
167.200000,-0.360000
167.600000,-0.560000
168.000000,-0.720000
168.400000,-0.760000
168.800000,-0.760000
169.200000,-0.600000
169.600000,-0.440000
170.000000,-0.400000
170.400000,-0.320000
170.800000,-0.320000
171.200000,-0.320000
171.600000,-0.320000
172.000000,-0.320000
172.400000,-0.280000
172.800000,-0.280000
173.200000,-0.280000
173.600000,-0.280000
174.000000,-0.240000
174.400000,-0.080000
174.800000,0.080000
175.200000,0.240000
175.600000,0.440000
176.000000,0.560000
176.400000,0.680000
176.800000,0.720000
177.200000,0.720000
177.600000,0.680000
178.000000,0.560000
178.400000,0.440000
178.800000,0.240000
179.200000,0.040000
179.600000,-0.200000
180.000000,-0.480000
180.400000,-0.720000
180.800000,-1.000000
181.200000,-1.200000
181.600000,-1.040000
182.000000,-0.680000
182.400000,-0.520000
182.800000,-0.440000
183.200000,-0.400000
183.600000,-0.360000
184.000000,-0.360000
184.400000,-0.320000
184.800000,-0.280000
185.200000,-0.280000
185.600000,-0.240000
186.000000,-0.240000
186.400000,-0.120000
186.800000,0.040000
187.200000,0.320000
187.600000,0.560000
188.000000,0.800000
188.400000,0.960000
188.800000,1.080000
189.200000,1.120000
189.600000,1.080000
190.000000,1.000000
190.400000,0.840000
190.800000,0.600000
191.200000,0.320000
191.600000,0.000000
192.000000,-0.360000
192.400000,-0.680000
192.800000,-1.040000
193.200000,-1.360000
193.600000,-1.600000
194.000000,-1.320000
194.400000,-0.800000
194.800000,-0.560000
195.200000,-0.480000
195.600000,-0.440000
196.000000,-0.400000
196.400000,-0.320000
196.800000,-0.320000
197.200000,-0.280000
197.600000,-0.320000
198.000000,-0.320000
198.400000,-0.200000
198.800000,0.080000
199.200000,0.440000
199.600000,0.720000
200.000000,0.960000
200.400000,1.120000
200.800000,1.280000
201.200000,1.320000
201.600000,1.320000
202.000000,1.200000
202.400000,1.040000
202.800000,0.760000
203.200000,0.440000
203.600000,0.080000
204.000000,-0.280000
204.400000,-0.680000
204.800000,-1.040000
205.200000,-1.440000
205.600000,-1.680000
206.000000,-1.520000
206.400000,-1.040000
206.800000,-0.720000
207.200000,-0.560000
207.600000,-0.480000
208.000000,-0.440000
208.400000,-0.440000
208.800000,-0.360000
209.200000,-0.320000
209.600000,-0.280000
210.000000,-0.280000
210.400000,-0.160000
210.800000,0.040000
211.200000,0.360000
211.600000,0.680000
212.000000,0.920000
212.400000,1.160000
212.800000,1.280000
213.200000,1.320000
213.600000,1.320000
214.000000,1.200000
214.400000,1.000000
214.800000,0.720000
215.200000,0.440000
215.600000,0.120000
216.000000,-0.240000
216.400000,-0.640000
216.800000,-1.000000
217.200000,-1.320000
217.600000,-1.640000
218.000000,-1.560000
218.400000,-1.120000
218.800000,-0.720000
219.200000,-0.560000
219.600000,-0.480000
220.000000,-0.440000
220.400000,-0.360000
220.800000,-0.360000
221.200000,-0.320000
221.600000,-0.320000
222.000000,-0.280000
222.400000,-0.240000
222.800000,-0.040000
223.200000,0.240000
223.600000,0.560000
224.000000,0.800000
224.400000,0.920000
224.800000,1.040000
225.200000,1.080000
225.600000,1.080000
226.000000,0.960000
226.400000,0.840000
226.800000,0.640000
227.200000,0.400000
227.600000,0.080000
228.000000,-0.200000
228.400000,-0.520000
228.800000,-0.840000
229.200000,-1.120000
229.600000,-1.360000
230.000000,-1.480000
230.400000,-1.120000
230.800000,-0.680000
231.200000,-0.560000
231.600000,-0.480000
232.000000,-0.440000
232.400000,-0.360000
232.800000,-0.360000
233.200000,-0.360000
233.600000,-0.320000
234.000000,-0.320000
234.400000,-0.240000
234.800000,-0.160000
235.200000,0.000000
235.600000,0.240000
236.000000,0.400000
236.400000,0.520000
236.800000,0.640000
237.200000,0.680000
237.600000,0.680000
238.000000,0.640000
238.400000,0.600000
